AR010989303,000148418
AR010237159,000148432
AR010237117,000148434
AR010693240,000148435
AR010731910,000148437
AR010731961,000148440
AR010102495,000148446
AR010731992,000148447
AR010878326,000148448
AR010803199,000148450
AR010919958,000148451
AR010426920,000148452
AR010426921,000148454
AR010185658,000148465
AR010659138,000148466
AR010719731,000148477
AR010063076,000148479
AR010357482,000148482
AR010825631,000148484
AR010432682,000148487
AR010912245,000148494
AR010919139,000148495
AR010899357,000148497
AR010429761,000148500
AR010958979,000148502
AR010887320,000148504
AR010698043,000148505
AR010120292,000148514
AR010131166,000148515
AR010742773,000148516
AR010273723,000148521
AR010871687,000148522
AR010083924,000148523
AR010446380,000148524
AR010594132,000148526
AR010082541,000148527
AR010138766,000148529
AR010762415,000148537
AR010304071,000148540
AR010127085,000148541
AR010446474,000148547
AR010127296,000148548
AR010260537,000148549
AR010127298,000148550
AR010185676,000148551
AR010910049,000148552
AR010709235,000148556
AR010224437,000148557
AR010855210,000148559
AR010124083,000148560
AR010993486,000148562
AR010656110,000148565
AR010659202,000148566
AR010082663,000148567
AR010432891,000148570
AR010089967,000148571
AR010432849,000148572
AR010090106,000148574
AR010714571,000148575
AR010432864,000148576
AR010204169,000148582
AR010296154,000148588
AR010733234,000148591
AR010704639,000148593
AR010191922,000148594
AR010432901,000148603
AR010469176,000148609
AR010296519,000148610
AR010003316,000148617
AR010594106,000148618
AR010090593,000148619
AR010090680,000148622
AR010658131,000148642
AR010172065,000148647
AR010975525,000148649
AR010606879,000148651
AR010432862,000148652
AR010801706,000148653
AR010179235,000148655
AR010603160,000148657
AR010698368,000148659
AR010349406,000148662
AR010148978,000148666
AR010610613,000148667
AR010610616,000148669
AR010353005,000148670
AR010244909,000148671
AR010430021,000148672
AR010610716,000148676
AR010719334,000148677
AR010082595,000148679
AR010082625,000148686
AR010112557,000148693
AR010620355,000148699
AR010651949,000148716
AR010463901,000148717
AR010180625,000148718
AR010192286,000148719
AR010396766,000148721
AR010993605,000148725
AR010082714,000148733
AR010391487,000148735
AR010105759,000148736
AR010105761,000148737
AR010434950,000148738
AR010434978,000148740
AR010083954,000148741
AR010693661,000148750
AR010435052,000148752
AR010435063,000148754
AR010304075,000148755
AR010082972,000148756
AR010090827,000148762
AR010764255,000148765
AR010125471,000148768
AR010082969,000148774
AR010083008,000148776
AR010086552,000148777
AR010358427,000148779
AR010119950,000148781
AR010086648,000148782
AR010105785,000148785
AR010851298,000148786
AR010781802,000148787
AR010086582,000148789
AR010223090,000148792
AR010965343,000148793
AR010468469,000148799
AR010352987,000148800
AR010086597,000148802
AR010213302,000148804
AR010463337,000148805
AR010370508,000148810
AR010296175,000148811
AR010594119,000148814
AR010157329,000148815
AR010993672,000148816
AR010425893,000148826
AR010233840,000148832
AR010567694,000148837
AR010765202,000148843
AR010440079,000148851
AR010573378,000148856
AR010911661,000148858
AR010156641,000148861
AR010156622,000148862
AR010156670,000148863
AR010156625,000148864
AR010414618,000148866
AR010156761,000148867
AR010012191,000148868
AR010156667,000148869
AR010319378,000148870
AR010319432,000148871
AR010422958,000148872
AR010698028,000148878
AR010569225,000148879
AR010567740,000148881
AR010304283,000148883
AR010588062,000148885
AR010993736,000148886
AR010436525,000148888
AR010697499,000148894
AR010993738,000148896
AR010989700,000148902
AR010156794,000148904
AR010156809,000148915
AR010213694,000148916
AR010436630,000148917
AR010067693,000148918
AR010248106,000148920
AR010304413,000148921
AR010783347,000148923
AR010745811,000148924
AR010698005,000148931
AR010368589,000148932
AR010125320,000148939
AR010569322,000148946
AR010296360,000148953
AR010758143,000148954
AR010436767,000148969
AR010000428,000148970
AR010993798,000148971
AR010436771,000148974
AR010993800,000148975
AR010235914,000148976
AR010191940,000148977
AR010097091,000148978
AR010578487,000148979
AR010085885,000148980
AR010692926,000148982
AR010843939,000148983
AR010828418,000148986
AR010497342,000148988
AR010692930,000148992
AR010086195,000148993
AR010097470,000148994
AR010097478,000148997
AR010731774,000148999
AR010097514,000149000
AR010685671,000149001
AR010241249,000149003
AR010670015,000149004
AR010373004,000149006
AR010765201,000149009
AR010724590,000149011
AR010097873,000149014
AR010154092,000149015
AR010693036,000149018
AR010346849,000149021
AR010195254,000149023
AR010783747,000149025
AR010019804,000149026
AR010415176,000149029
AR010237378,000149030
AR010758150,000149031
AR010341066,000149032
AR010463605,000149033
AR010876659,000149034
AR010415187,000149037
AR010195762,000149042
AR010415196,000149043
AR010196272,000149049
AR010000723,000149055
AR010875108,000149056
AR010724922,000149061
AR010577690,000149063
AR010238980,000149064
AR010172868,000149065
AR010432738,000149067
AR010695479,000149068
AR010993885,000149070
AR010582409,000149071
AR010832303,000149074
AR010467616,000149075
AR010993890,000149076
AR010993892,000149077
AR010125322,000149078
AR010283980,000149081
AR010700566,000149082
AR010993916,000149096
AR010993918,000149098
AR010225539,000149105
AR010630398,000149110
AR010983559,000149111
AR010573975,000149112
AR010745958,000149113
AR010315022,000149123
AR010395334,000149124
AR010823148,000149125
AR010288325,000149128
AR010099411,000149131
AR010006964,000149132
AR010099416,000149133
AR010099424,000149134
AR010112610,000149139
AR010413479,000149140
AR010258350,000149141
AR010193341,000149144
AR010413498,000149147
AR010350478,000149148
AR010630373,000149149
AR010977903,000149150
AR010877877,000149151
AR010767174,000149152
AR010983469,000149153
AR010973795,000149155
AR010705044,000149157
AR010974695,000149158
AR010983101,000149159
AR010770462,000149160
AR010630428,000149161
AR010227622,000149163
AR010179330,000149166
AR010110930,000149170
AR010179323,000149173
AR010571080,000149174
AR010571085,000149175
AR010872829,000149177
AR010112694,000149179
AR010179349,000149183
AR010112649,000149185
AR010571098,000149186
AR010110945,000149190
AR010571118,000149191
AR010350535,000149196
AR010571132,000149198
AR010405480,000149199
AR010345468,000149200
AR010203445,000149201
AR010994221,000149202
AR010571162,000149203
AR010413447,000149205
AR010571179,000149208
AR010413489,000149210
AR010869071,000149211
AR010702707,000149212
AR010112657,000149213
AR010179360,000149215
AR010179363,000149216
AR010112636,000149217
AR010112661,000149218
AR010508597,000149219
AR010825702,000149220
AR010350625,000149221
AR010009929,000149223
AR010717406,000149225
AR010137710,000149226
AR010112679,000149229
AR010112676,000149230
AR010973353,000149232
AR010381063,000149235
AR010630085,000149236
AR010380610,000149237
AR010230976,000149238
AR010372530,000149239
AR010141202,000149241
AR010231066,000149242
AR010741031,000149243
AR010460059,000149245
AR010992969,000149246
AR010881747,000149248
AR010231372,000149251
AR010660475,000149257
AR010304943,000149259
AR010290213,000149260
AR010415252,000149264
AR010290368,000149268
AR010290395,000149270
AR010939773,000149271
AR010994325,000149273
AR010290466,000149274
AR010459589,000149279
AR010994330,000149280
AR010459492,000149283
AR010086774,000149289
AR010730755,000149291
AR010442009,000149292
AR010743764,000149295
AR010251707,000149296
AR010019879,000149298
AR010762020,000149304
AR010702034,000149307
AR010701054,000149310
AR010077606,000149311
AR010180079,000149312
AR010298273,000149314
AR010279328,000149315
AR010925905,000149318
AR010860555,000149326
AR010279400,000149328
AR010994358,000149329
AR010176324,000149331
AR010414780,000149332
AR010086798,000149333
AR010661609,000149336
AR010138536,000149338
AR010000152,000149339
AR010548091,000149341
AR010087454,000149342
AR010699091,000149343
AR010654285,000149347
AR010994376,000149349
AR010577240,000149351
AR010414786,000149352
AR010994382,000149354
AR010019467,000149362
AR010994387,000149366
AR010994394,000149374
AR010994395,000149376
AR010994396,000149377
AR010396637,000149378
AR010468083,000149379
AR010145875,000149382
AR010348091,000149383
AR010255303,000149384
AR010108039,000149386
AR010108042,000149387
AR010005082,000149388
AR010227382,000149390
AR010994468,000149391
AR010832028,000149394
AR010985216,000149396
AR010108383,000149398
AR010901405,000149401
AR010108484,000149402
AR010227399,000149403
AR010451409,000149405
AR010108377,000149410
AR010108750,000149411
AR010208022,000149412
AR010595236,000149415
AR010396625,000149416
AR010169529,000149419
AR010108859,000149420
AR010994561,000149421
AR010994577,000149427
AR010363088,000149430
AR010380531,000149431
AR010814354,000149433
AR010746112,000149434
AR010874635,000149437
AR010351308,000149441
AR010865591,000149442
AR010696949,000149445
AR010467058,000149446
AR010614973,000149448
AR010763406,000149453
AR010123711,000149454
AR010751443,000149455
AR010351479,000149456
AR010750946,000149458
AR010913843,000149459
AR010150186,000149460
AR010693083,000149461
AR010123719,000149462
AR010352057,000149463
AR010123723,000149465
AR010352060,000149466
AR010592285,000149467
AR010650565,000149468
AR010336481,000149470
AR010336493,000149472
AR010113833,000149474
AR010938604,000149477
AR010660452,000149481
AR010461683,000149482
AR010731460,000149484
AR010406327,000149486
AR010228660,000149491
AR010108943,000149492
AR010109039,000149493
AR010109045,000149494
AR010994697,000149495
AR010358654,000149496
AR010994707,000149497
AR010109057,000149498
AR010461690,000149500
AR010109123,000149501
AR010896731,000149503
AR010009790,000149510
AR010150781,000149511
AR010406655,000149512
AR010698645,000149513
AR010573773,000149514
AR010369759,000149517
AR010556146,000149519
AR010767000,000149520
AR010006950,000149523
AR010006977,000149526
AR010006971,000149528
AR010461698,000149531
AR010332688,000149537
AR010423262,000149540
AR010769934,000149548
AR010790642,000149551
AR010748993,000149552
AR010086621,000149554
AR010009772,000149555
AR010232829,000149557
AR010086645,000149560
AR010086660,000149561
AR010077615,000149563
AR010103882,000149586
AR010442164,000149594
AR010994888,000149595
AR010442165,000149596
AR010381947,000149605
AR010184959,000149606
AR010193968,000149607
AR010942871,000149608
AR010125324,000149609
AR010140078,000149610
AR010347104,000149611
AR010578162,000149612
AR010594273,000149613
AR010114101,000149614
AR010190728,000149615
AR010231202,000149616
AR010204064,000149617
AR010114104,000149618
AR010114095,000149619
AR010120708,000149620
AR010175836,000149621
AR010347149,000149622
AR010363360,000149623
AR010845632,000149624
AR010594050,000149628
AR010761721,000149638
AR010782333,000149640
AR010103432,000149641
AR010179944,000149645
AR010145081,000149657
AR010752272,000149658
AR010723144,000149666
AR010779453,000149671
AR010588088,000149675
AR010081500,000149682
AR010081431,000149683
AR010020193,000149687
AR010882715,000149688
AR010445674,000149691
AR010020256,000149697
AR010113267,000149699
AR010280169,000149700
AR010020316,000149701
AR010020508,000149704
AR010896678,000149705
AR010020927,000149706
AR010456106,000149707
AR010658284,000149708
AR010456214,000149711
AR010762228,000149714
AR010783749,000149717
AR010354547,000149718
AR010319216,000149719
AR010823033,000149723
AR010456258,000149725
AR010456259,000149727
AR010000249,000149728
AR010000246,000149729
AR010020951,000149730
AR010020957,000149735
AR010138820,000149737
AR010000270,000149738
AR010456285,000149739
AR010134686,000149740
AR010062643,000149742
AR010120643,000149743
AR010225303,000149744
AR010470112,000149745
AR010084182,000149746
AR010124027,000149747
AR010761443,000149750
AR010456312,000149755
AR010120649,000149757
AR010084124,000149760
AR010347340,000149763
AR010087039,000149768
AR010124087,000149770
AR010087078,000149771
AR010087045,000149773
AR010080630,000149781
AR010757168,000149782
AR010456418,000149783
AR010456419,000149784
AR010084056,000149785
AR010456442,000149786
AR010406548,000149790
AR010658189,000149794
AR010139410,000149797
AR010755129,000149798
AR010958779,000149799
AR010747636,000149803
AR010114520,000149804
AR010099096,000149807
AR010045302,000149808
AR010753852,000149811
AR010592312,000149813
AR010298968,000149814
AR010082418,000149816
AR010304625,000149817
AR010218632,000149826
AR010084690,000149828
AR010084726,000149830
AR010264253,000149831
AR010439213,000149833
AR010439248,000149834
AR010087759,000149835
AR010087765,000149836
AR010439426,000149841
AR010658303,000149844
AR010123739,000149852
AR010123742,000149855
AR010123744,000149856
AR010470143,000149857
AR010808743,000149858
AR010123748,000149862
AR010614066,000149866
AR010614047,000149867
AR010614054,000149868
AR010614055,000149869
AR010614061,000149870
AR010408674,000149871
AR010718895,000149872
AR010614166,000149873
AR010468849,000149874
AR010056519,000149877
AR010228497,000149878
AR010190444,000149880
AR010681653,000149884
AR010123758,000149888
AR010123770,000149891
AR010353356,000149894
AR010123772,000149895
AR010614306,000149897
AR010614303,000149899
AR010028379,000149904
AR010817854,000149907
AR010018985,000149910
AR010305239,000149912
AR010028008,000149918
AR010075955,000149919
AR010828472,000149920
AR010968807,000149921
AR010028011,000149923
AR010082211,000149926
AR010627607,000149927
AR010028070,000149928
AR010450290,000149929
AR010349389,000149930
AR010086940,000149932
AR010223512,000149933
AR010275088,000149934
AR010210645,000149935
AR010869067,000149936
AR010695170,000149937
AR010695173,000149938
AR010075962,000149939
AR010082274,000149940
AR010942873,000149941
AR010450435,000149943
AR010081964,000149944
AR010776981,000149952
AR010776982,000149953
AR010776983,000149954
AR010367693,000149955
AR010776984,000149956
AR010776985,000149957
AR010184750,000149958
AR010463732,000149961
AR010779534,000149962
AR010807352,000149963
AR010044300,000149966
AR010695198,000149967
AR010082439,000149968
AR010695199,000149969
AR010044297,000149970
AR010779529,000149971
AR010044309,000149975
AR010763098,000149976
AR010152438,000149977
AR010119311,000149978
AR010452545,000149979
AR010452543,000149980
AR010044505,000149982
AR010273510,000149983
AR010141242,000149984
AR010937167,000149985
AR010044817,000149986
AR010452544,000149987
AR010659581,000150000
AR010129618,000150002
AR010212743,000150006
AR010045085,000150007
AR010045214,000150008
AR010000345,000150010
AR010692918,000150016
AR010756073,000150017
AR010261614,000150033
AR010261617,000150034
AR010261200,000150036
AR010981925,000150043
AR010079278,000150050
AR010079527,000150055
AR010199120,000150056
AR010719749,000150058
AR010045693,000150059
AR010483279,000150060
AR010811495,000150062
AR010177930,000150067
AR010453936,000150068
AR010118177,000150074
AR010080138,000150080
AR010995781,000150088
AR010910249,000150090
AR010297423,000150091
AR010225438,000150093
AR010483210,000150094
AR010859924,000150097
AR010186580,000150098
AR010483330,000150105
AR010146986,000150106
AR010995802,000150111
AR010080597,000150114
AR010995806,000150116
AR010080609,000150117
AR010080684,000150121
AR010080654,000150123
AR010995815,000150126
AR010080897,000150137
AR010080915,000150138
AR010079619,000150140
AR010079781,000150142
AR010995821,000150144
AR010995824,000150146
AR010985532,000150147
AR010995852,000150149
AR010666682,000150151
AR010168776,000150152
AR010728086,000150187
AR010683252,000150191
AR010460628,000150192
AR010683300,000150196
AR010722475,000150201
AR010996087,000150203
AR010111515,000150213
AR010741964,000150214
AR010029034,000150216
AR010735278,000150217
AR010441695,000150218
AR010441693,000150219
AR010337527,000150220
AR010076066,000150221
AR010776128,000150222
AR010776140,000150223
AR010337551,000150224
AR010776157,000150225
AR010091601,000150227
AR010028853,000150229
AR010337683,000150230
AR010337686,000150231
AR010337692,000150232
AR010758205,000150233
AR010094277,000150234
AR010337698,000150235
AR010337705,000150236
AR010776181,000150237
AR010261958,000150238
AR010337710,000150239
AR010337719,000150240
AR010776218,000150242
AR010776199,000150243
AR010776224,000150244
AR010042576,000150252
AR010752839,000150262
AR010029006,000150263
AR010327608,000150264
AR010330362,000150265
AR010028835,000150266
AR010028823,000150267
AR010444849,000150268
AR010030352,000150269
AR010383336,000150270
AR010030183,000150273
AR010080531,000150274
AR010327722,000150275
AR010080603,000150276
AR010080756,000150278
AR010028977,000150279
AR010751213,000150280
AR010030265,000150281
AR010030296,000150282
AR010330324,000150283
AR010155392,000150284
AR010025749,000150285
AR010029003,000150286
AR010080624,000150287
AR010227609,000150288
AR010257237,000150289
AR010134961,000150290
AR010236336,000150291
AR010654293,000150292
AR010042574,000150293
AR010080489,000150294
AR010322531,000150296
AR010578176,000150297
AR010028826,000150298
AR010080507,000150299
AR010207177,000150300
AR010028820,000150301
AR010080495,000150302
AR010030366,000150303
AR010331507,000150304
AR010072477,000150305
AR010028832,000150306
AR010080648,000150307
AR010028829,000150308
AR010094265,000150309
AR010709525,000150311
AR010227440,000150312
AR010574812,000150313
AR010028814,000150314
AR010337508,000150316
AR010330197,000150317
AR010080786,000150318
AR010080927,000150319
AR010080825,000150320
AR010028907,000150324
AR010309377,000150325
AR010322765,000150326
AR010381820,000150328
AR010378808,000150329
AR010996112,000150330
AR010762144,000150333
AR010125495,000150336
AR010125497,000150337
AR010453606,000150339
AR010125499,000150342
AR010111444,000150343
AR010252404,000150350
AR010453688,000150352
AR010125508,000150353
AR010081821,000150354
AR010292896,000150355
AR010125511,000150357
AR010762122,000150359
AR010076075,000150363
AR010208109,000150364
AR010996115,000150365
AR010453715,000150367
AR010568853,000150375
AR010698022,000150376
AR010324585,000150377
AR010388211,000150379
AR010087033,000150383
AR010362136,000150398
AR010199199,000150400
AR010908900,000150405
AR010199099,000150411
AR010653807,000150438
AR010003897,000150439
AR010000404,000150440
AR010329171,000150441
AR010453909,000150445
AR010081215,000150449
AR010889347,000150450
AR010080984,000150454
AR010438738,000150455
AR010729159,000150456
AR010080996,000150457
AR010438751,000150459
AR010494990,000150460
AR010080945,000150461
AR010125901,000150467
AR010458637,000150469
AR010494969,000150471
AR010192381,000150473
AR010809527,000150477
AR010307455,000150478
AR010638543,000150481
AR010438797,000150483
AR010438804,000150485
AR010082406,000150488
AR010199834,000150499
AR010021508,000150500
AR010438817,000150506
AR010326691,000150511
AR010785057,000150512
AR010368241,000150517
AR010076084,000150518
AR010707137,000150520
AR010083247,000150521
AR010224532,000150524
AR010019897,000150526
AR010961111,000150528
AR010104674,000150532
AR010366819,000150533
AR010366851,000150535
AR010022747,000150536
AR010497364,000150537
AR010000651,000150538
AR010187229,000150542
AR010123790,000150543
AR010353425,000150546
AR010666860,000150547
AR010957944,000150553
AR010761409,000150554
AR010405023,000150555
AR010683335,000150557
AR010191361,000150559
AR010139103,000150569
AR010387481,000150577
AR010353348,000150579
AR010683350,000150586
AR010988151,000150602
AR010354114,000150604
AR010123813,000150606
AR010003319,000150607
AR010139567,000150619
AR010187205,000150621
AR010621438,000150623
AR010123821,000150635
AR010160084,000150637
AR010975048,000150638
AR010191409,000150639
AR010160093,000150640
AR010401820,000150646
AR010160126,000150647
AR010160112,000150648
AR010160150,000150649
AR010079785,000150650
AR010761462,000150654
AR010696438,000150667
AR010732086,000150674
AR010487371,000150675
AR010111724,000150676
AR010669307,000150682
AR010761485,000150685
AR010459023,000150692
AR010372597,000150695
AR010459026,000150697
AR010459034,000150700
AR010193039,000150701
AR010765430,000150702
AR010193042,000150705
AR010193057,000150708
AR010193069,000150712
AR010616927,000150718
AR010616954,000150723
AR010193099,000150724
AR010974044,000150727
AR010806717,000150728
AR010740895,000150735
AR010459372,000150736
AR010193123,000150737
AR010764271,000150740
AR010722154,000150743
AR010383370,000150749
AR010693850,000150752
AR010610326,000150754
AR010808732,000150756
AR010617200,000150760
AR010617201,000150761
AR010861386,000150762
AR010414473,000150778
AR010438724,000150779
AR010316084,000150781
AR010399959,000150782
AR010019921,000150785
AR010019924,000150786
AR010592189,000150793
AR010594182,000150795
AR010019936,000150796
AR010285799,000150798
AR010019954,000150800
AR010108509,000150803
AR010655031,000150816
AR010266196,000150818
AR010266202,000150819
AR010990877,000150820
AR010896681,000150823
AR010019977,000150826
AR010768999,000150828
AR010266385,000150830
AR010001029,000150840
AR010000779,000150842
AR010000797,000150843
